osm_id,type,name,minlat,minlon,maxlat,maxlon,center_lat,center_lon,tags
413175236,node,Покинута котельня,48.4901751,39.3468529,48.4901751,39.3468529,48.4901751,39.3468529,"{'man_made': 'works', 'name': 'Покинута котельня', 'name:uk': 'Покинута котельня'}"
627636774,node,Cogniance Inc.,50.418134,30.517136,50.418134,30.517136,50.418134,30.517136,"{'addr:housenumber': '86-Д', 'addr:street': 'вулиця Казимира Малевича', 'description': 'Software development', 'man_made': 'works', 'name': 'Cogniance Inc.', 'name:uk': 'Cogniance Inc.', 'website': 'https://cogniance.com/'}"
735120774,node,Покинута котельня,48.4766159,39.3331328,48.4766159,39.3331328,48.4766159,39.3331328,"{'man_made': 'works', 'name': 'Покинута котельня', 'name:uk': 'Покинута котельня'}"
735120901,node,Ptitsefabrika,48.4759543,39.3392408,48.4759543,39.3392408,48.4759543,39.3392408,"{'man_made': 'works', 'name': 'Ptitsefabrika', 'name:uk': 'Ptitsefabrika'}"
1279134205,node,Котельня,47.9346107,37.6862543,47.9346107,37.6862543,47.9346107,37.6862543,"{'man_made': 'works', 'name': 'Котельня', 'name:uk': 'Котельня'}"
1279584521,node,"Винзавод ""Леанка""",48.5362339,22.506649,48.5362339,22.506649,48.5362339,22.506649,"{'man_made': 'works', 'name': 'Винзавод ""Леанка""', 'name:uk': 'Винзавод ""Леанка""'}"
1360284527,node,Unknown,50.039397,36.2197,50.039397,36.2197,50.039397,36.2197,{'man_made': 'works'}
1407115170,node,Алювіжен,50.7762572,25.3454409,50.7762572,25.3454409,50.7762572,25.3454409,"{'addr:housenumber': '12а', 'man_made': 'works', 'name': 'Алювіжен', 'name:en': 'Aluvision', 'name:ru': 'Алювижен', 'name:uk': 'Алювіжен'}"
1678958361,node,ЛугаРайзАгро,48.7320014,39.3094888,48.7320014,39.3094888,48.7320014,39.3094888,"{'man_made': 'works', 'name': 'ЛугаРайзАгро', 'name:uk': 'ЛугаРайзАгро'}"
1706780846,node,Unknown,49.9571977,31.0379389,49.9571977,31.0379389,49.9571977,31.0379389,{'man_made': 'works'}
1736093803,node,"Будівельна база ""Солід""",48.0242901,38.6302793,48.0242901,38.6302793,48.0242901,38.6302793,"{'man_made': 'works', 'name': 'Будівельна база ""Солід""', 'name:uk': 'Будівельна база ""Солід""'}"
2191392260,node,Мівіна,49.9723463,36.3030718,49.9723463,36.3030718,49.9723463,36.3030718,"{'man_made': 'works', 'name': 'Мівіна', 'name:uk': 'Мівіна'}"
2191392262,node,Турбоатом,49.9730238,36.3009517,49.9730238,36.3009517,49.9730238,36.3009517,"{'man_made': 'works', 'name': 'Турбоатом', 'name:uk': 'Турбоатом'}"
2313570194,node,ІСКРА,47.837312,35.2228662,47.837312,35.2228662,47.837312,35.2228662,"{'addr:housenumber': '84', 'addr:street': 'Магістральна вулиця', 'email': 'iskra@iskra.zp.ua', 'man_made': 'works', 'name': 'ІСКРА', 'name:en': 'ISKRA', 'name:ru': 'ИСКРА', 'name:uk': 'ІСКРА', 'phone': '+380 612 71 2152;+380 612 71 2279', 'website': 'https://iskra.zp.ua/index.php?lang=ua'}"
