osm_id,type,name,minlat,minlon,maxlat,maxlon,center_lat,center_lon,tags
7920340234,node,Unknown,50.6000095,30.5591674,50.6000095,30.5591674,50.6000095,30.5591674,"{'plant:method': 'photovoltaic', 'plant:output:electricity': 'yes', 'plant:source': 'solar', 'power': 'plant'}"
23652365,way,Чорнобильська Атомна Електростанція,,,,,51.389778,30.1042742,"{'alt_name:de': 'Kernkraftwerk Tschernobyl „W. I. Lenin“', 'alt_name:en': 'Chernobyl Nuclear Power Station', 'alt_name:fr': 'Centrales nucléaires de Tchernobyl', 'alt_name:it': ""Centrale nucleare di Černobyl'"", 'alt_name:nb': 'Tsjernobyl kjernekraftverk', 'alt_name:zh': '切尔诺贝利核电站', 'end_date': '2000-12-15', 'hazard': 'nuclear', 'landuse': 'industrial', 'name': 'Чорнобильська Атомна Електростанція', 'name:ar': 'مفاعل تشيرنوبل', 'name:az': 'Çernobıl AES', 'name:ba': 'Чернобыль АЭС-ы', 'name:be': 'Чарнобыльская АЭС', 'name:bg': 'Чернобилска АЕЦ', 'name:bn': 'চেরনোবিল পারমাণবিক বিদ্যুৎ কেন্দ্র', 'name:bs': 'Černobiljska nuklearna elektrana', 'name:ca': 'Central nuclear de Txornòbil', 'name:cs': 'Jaderná elektrárna Černobyl', 'name:da': 'Tjernobyl-atomkraftværket', 'name:de': 'Kernkraftwerk Tschornobyl „W. I. Lenin“', 'name:el': 'Πυρηνικός Σταθμός Παραγωγής Ενέργειας του Τσερνόμπιλ', 'name:en': 'Chornobyl Nuclear Power Plant', 'name:eo': 'Nuklea centralo de Ĉernobilo', 'name:es': 'Central nuclear de Chernóbil', 'name:et': 'Tšornobõli tuumaelektrijaam', 'name:eu': 'Txernobylgo zentral nuklearra', 'name:fa': 'نیروگاه هسته\u200cای چرنوبیل', 'name:fi': 'Tšernobylin ydinvoimalaitos', 'name:fr': 'Centrales nucléaires de Tchornobyl', 'name:he': ""תחנת הכוח הגרעינית צ'רנוביל"", 'name:hi': 'चेरनोबिल परमाणु ऊर्जा संयंत्र', 'name:hu': 'Csernobili atomerőmű', 'name:hy': 'Չեռնոբիլի ատոմակայան', 'name:id': 'Pembangkit Listrik Tenaga Nuklir Chernobyl', 'name:it': ""Centrale nucleare di Čornobyl'"", 'name:ja': 'チェルノブイリ原子力発電所', 'name:ka': 'ჩერნობილის ატომური ელექტროსადგური', 'name:ko': '체르노빌 원자력 발전소', 'name:lt': 'Černobilio atominė elektrinė', 'name:lv': 'Čornobiļas atomelektrostacija', 'name:ml': 'ചെർണോബിൽ ആണവോർജ്ജനിലയം', 'name:ms': 'Loji Kuasa Nuklear Chornobyl', 'name:nb': 'Tsjornobyl kjernekraftverk', 'name:nl': 'Kerncentrale Tsjernobyl', 'name:pl': 'Czarnobylska Elektrownia Jądrowa', 'name:pt': 'Usina Nuclear de Chernobil', 'name:ro': 'Centrala nucleară de la Cernobîl', 'name:ru': 'Чернобыльская атомная электростанция', 'name:sk': 'Jadrová elektráreň Černobyl', 'name:sl': 'Jedrska elektrarna Černobil', 'name:sr': 'Чернобиљска нуклеарна електрана', 'name:sv': 'Tjernobyls kärnkraftverk', 'name:th': 'โรงไฟฟ้านิวเคลียร์เชียร์โนบีล', 'name:tr': 'Çernobil Nükleer Santrali', 'name:uk': 'Чорнобильська Атомна Електростанція', 'name:vi': 'Nhà máy điện hạt nhân Chernobyl', 'name:zh': '車諾比核電站', 'old_name:en': 'V.I. Lenin Nuclear Power Station', 'operator': 'НАЕК Енергоатом', 'plant:method': 'fission', 'plant:output:electricity': '0', 'plant:source': 'nuclear', 'power': 'plant', 'short_name:uk': 'ЧАЕС', 'source:name:fr': 'https://books.google.com.ua/books?id=1KCMtpvYXC4C&pg=PA211&dq=Tchornobyl&hl=uk&sa=X&ved=0ahUKEwiDkry-pvzfAhWJiaYKHQj8C3g4ChDoAQg_MAU#v=onepage&q=Tchornobyl&f=false', 'source:name:hu': 'https://helyesiras.mta.hu/helyesiras/default/predict?q=Csernobil; http://www.e-nyelv.hu/2009-10-10/csernobil/', 'start_date': '1978-05-27', 'status': 'disused', 'wikidata': 'Q215419', 'wikipedia': 'uk:Чорнобильська АЕС'}"
28877239,way,Запорізька ТЕС,,,,,47.5076492,34.6250217,"{'landuse': 'industrial', 'name': 'Запорізька ТЕС', 'name:de': 'Gaskraftwerk Saporischschja', 'name:en': 'Zaporizhzhia Power Plant', 'name:fr': 'Centrale thermique', 'name:uk': 'Запорізька ТЕС', 'plant:output:electricity': '3650 MW', 'plant:source': 'gas;coal', 'power': 'plant', 'wikidata': 'Q3365756', 'wikipedia': 'uk:Запорізька ТЕС'}"
28878631,way,Хмельницька атомна електростанція,,,,,50.3019805,26.647958,"{'landuse': 'industrial', 'name': 'Хмельницька атомна електростанція', 'name:en': 'Khmelnytskyi Nuclear Power Plant', 'name:uk': 'Хмельницька атомна електростанція', 'plant:method': 'fission', 'plant:output:electricity': '2000 MW', 'plant:source': 'nuclear', 'power': 'plant', 'wikidata': 'Q1037144', 'wikipedia': 'uk:Хмельницька АЕС'}"
28878854,way,Рівненська АЕС,,,,,51.3252634,25.8968651,"{'name': 'Рівненська АЕС', 'name:de': 'Kernkraftwerk Riwne', 'name:en': 'Rivne Nuclear Power Plant', 'name:fr': 'Centrale nucléaire de Rovno', 'name:it': 'Centrale nucleare di Rìvnens’ka', 'name:pl': 'Elektrownia Jądrowa Równe', 'name:ru': 'Ровенская АЭС', 'name:uk': 'Рівненська АЕС', 'operator': 'НАЕК Енергоатом', 'plant:method': 'fission', 'plant:output:electricity': '2.835 GW', 'plant:source': 'nuclear', 'power': 'plant', 'short_name': 'ВП РАЕС ДП НАЕК ""Енергоатом""', 'start_date': '1981-09-21', 'wikidata': 'Q301915', 'wikipedia': 'uk:Рівненська атомна електростанція', 'wikipedia:ru': 'Ровенская АЭС'}"
35003388,way,Unknown,,,,,50.4994578,30.5872688,"{'landuse': 'industrial', 'power': 'plant'}"
37379306,way,Unknown,,,,,48.2821213,25.9770031,"{'building': 'yes', 'power': 'plant'}"
45020410,way,ТЕЦ-2,,,,,49.2305602,28.4281347,"{'building': 'industrial', 'name': 'ТЕЦ-2', 'name:uk': 'ТЕЦ-2', 'operator': 'Винницагортеплоэнерго', 'power': 'plant'}"
52153391,way,Вінницька ТЕЦ,,,,,49.234865,28.4783792,"{'building': 'industrial', 'name': 'Вінницька ТЕЦ', 'name:ru': 'Винницкая ТЭЦ', 'name:uk': 'Вінницька ТЕЦ', 'operator': 'Вінницяміськтеплоенерго', 'power': 'plant'}"
53542058,way,Unknown,,,,,51.5001779,31.2825304,"{'landuse': 'industrial', 'power': 'plant', 'substation': 'minor_distribution'}"
