osm_id,type,name,minlat,minlon,maxlat,maxlon,center_lat,center_lon,tags
48335155,node,Мостиська ІІ,49.8165028,23.0326626,49.8165028,23.0326626,49.8165028,23.0326626,"{'esr:code': '373502', 'esr:user': '373502', 'int_name': 'Mostiska 2', 'name': 'Мостиська ІІ', 'name:en': 'Mostiska 2', 'name:pl': 'Mościska 2', 'name:ru': 'Мостиска 2', 'name:uk': 'Мостиська ІІ', 'name:uk-Latn': 'Mostiska II', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'source': 'https://railwayz.info/photolines/station/2491', 'train': 'yes', 'uic_ref': '2218085', 'wikipedia': 'uk:Мостиська II'}"
48342569,node,Мостиська-I,49.8184498,23.1305364,49.8184498,23.1305364,49.8184498,23.1305364,"{'esr:user': '374204', 'int_name': 'Mostyska 1', 'internet_access': 'no', 'name': 'Мостиська-I', 'name:de': 'Mostyska 1', 'name:en': 'Mostyska 1', 'name:pl': 'Mościska 1', 'name:ro': 'Mostîska 1', 'name:ru': 'Мостиска 1', 'name:uk': 'Мостиська-I', 'name:uk-Latn': 'Mostiska I', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218076', 'wikidata': 'Q16707535', 'wikipedia': 'uk:Мостиська I'}"
48348482,node,Судова Вишня,49.7996753,23.383492,49.7996753,23.383492,49.7996753,23.383492,"{'esr:code': '374401', 'esr:user': '374401', 'int_name': 'Sudova Vyshnia', 'name': 'Судова Вишня', 'name:de': 'Sudowa Wyschnja', 'name:en': 'Sudova Vyshnia', 'name:pl': 'Sądowa Wisznia', 'name:uk': 'Судова Вишня', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218365'}"
51867330,node,Верхньодніпровськ,48.5532375,34.3750471,48.5532375,34.3750471,48.5532375,34.3750471,"{'alt_name': 'Novonikolaivka', 'esr:code': '456300', 'esr:user': '456300', 'int_name': 'Verhnedneprovsk', 'name': 'Верхньодніпровськ', 'name:ru': 'Верхнеднепровск', 'name:uk': 'Верхньодніпровськ', 'network': 'УЗ', 'operator': 'Приднепровская железная дорога', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2210695'}"
124383934,node,Доманинці,48.6373104,22.3363204,48.6373104,22.3363204,48.6373104,22.3363204,"{'name': 'Доманинці', 'name:ru': 'Доманинцы', 'name:uk': 'Доманинці', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes'}"
124422270,node,Свалява,48.5516467,22.9880331,48.5516467,22.9880331,48.5516467,22.9880331,"{'name': 'Свалява', 'name:en': 'Svaliava', 'name:ru': 'Свалява', 'name:uk': 'Свалява', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218290', 'wikidata': 'Q16715494', 'wikipedia': 'uk:Свалява (станція)'}"
249761822,node,Христинівка,48.8152213,29.972563,48.8152213,29.972563,48.8152213,29.972563,"{'name': 'Христинівка', 'name:de': 'Chrystyniwka', 'name:en': 'Khrystynivka', 'name:ru': 'Христиновка', 'name:uk': 'Христинівка', 'operator': 'Укрзалізниця', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2208370', 'wikidata': 'Q16722366', 'wikipedia': 'uk:Христинівка (станція)'}"
254324979,node,Розкошівка,48.7533189,29.7913821,48.7533189,29.7913821,48.7533189,29.7913821,"{'esr:code': '420216', 'express:code': '2208423', 'express:name': 'РОСКОШЕВКА', 'name': 'Розкошівка', 'name:de': 'Roskoschiwka', 'name:en': 'Rozkoshivka', 'name:fr': 'Rozkochivka', 'name:pl': 'Rozkosziwka', 'name:ru': 'Роскошевка', 'name:uk': 'Розкошівка', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2208423'}"
255331221,node,Великий Кучурів,48.2025999,25.9075766,48.2025999,25.9075766,48.2025999,25.9075766,"{'esr:user': '368307', 'name': 'Великий Кучурів', 'name:ru': 'Великий Кучуров', 'name:uk': 'Великий Кучурів', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218455'}"
255331668,node,Лужани,48.3618475,25.7709308,48.3618475,25.7709308,48.3618475,25.7709308,"{'esr:user': '366301', 'name': 'Лужани', 'name:md': 'Лужень', 'name:ro': 'Lujeni', 'name:ru': 'Лужаны', 'name:uk': 'Лужани', 'network': 'Укрзалізниця', 'network:en': 'Ukrainian Railways', 'network:short': 'УЗ', 'network:short:uk': 'УЗ', 'network:short:uk-Latn': 'UZ', 'network:uk': 'Укрзалізниця', 'network:uk-Latn': 'Ukrzaliznytsia', 'network:wikidata': 'Q923337', 'operator': 'Укрзалізниця', 'operator:en': 'Ukrainian Railways', 'operator:short': 'УЗ', 'operator:short:uk': 'УЗ', 'operator:short:uk-Latn': 'UZ', 'operator:uk': 'Укрзалізниця', 'operator:uk-Latn': 'Ukrzaliznytsia', 'operator:wikidata': 'Q923337', 'public_transport': 'station', 'railway': 'station', 'train': 'yes', 'uic_ref': '2218227'}"
